Region,Estimate_Total,Estimate_No_Public_Coverage,Year
Geographic Area Name,Estimate!!Total,Estimate!!Total!!With public coverage,2018
United States,322249485,114750439,2018
Alabama,4810094,1790185,2018
Alaska,713033,246585,2018
Arizona,7064799,2775975,2018
Arkansas,2960503,1307351,2018
California,39062465,14994958,2018
Colorado,5604105,1831694,2018
Connecticut,3523842,1261402,2018
Delaware,952211,378683,2018
District of Columbia,692817,248346,2018
Florida,20996007,7790464,2018
Georgia,10334958,3219809,2018
Hawaii,1368549,482380,2018
Idaho,1733484,563009,2018
Illinois,12563908,4254951,2018
Indiana,6592504,2227136,2018
Iowa,3113029,1101916,2018
Kansas,2854774,849783,2018
Kentucky,4388204,1909024,2018
Louisiana,4556078,2023429,2018
Maine,1323289,494004,2018
Maryland,5943064,1977577,2018
Massachusetts,6830796,2498805,2018
Michigan,9888529,3864693,2018
Minnesota,5553564,1843470,2018
Mississippi,2919673,1134469,2018
Missouri,6014742,1963983,2018
Montana,1047075,421190,2018
Nebraska,1900165,547931,2018
Nevada,2998585,1045352,2018
New Hampshire,1339549,432025,2018
New Jersey,8803988,2749602,2018
New Mexico,2060718,1018290,2018
New York,19302636,7693168,2018
North Carolina,10183721,3536718,2018
North Dakota,743793,196917,2018
Ohio,11517226,4322629,2018
Oklahoma,3861581,1334891,2018
Oregon,4151076,1626874,2018
Pennsylvania,12604311,4708987,2018
Rhode Island,1041309,403336,2018
South Carolina,4990240,1888425,2018
South Dakota,864598,262780,2018
Tennessee,6667784,2475429,2018
Texas,28243191,8200455,2018
Utah,3135573,666514,2018
Vermont,620066,252039,2018
Virginia,8301038,2374305,2018
Washington,7427599,2669196,2018
West Virginia,1776965,837247,2018
Wisconsin,5740669,1897156,2018
Wyoming,567008,154902,2018
Puerto Rico,3171580,1963858,2018
Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!With public coverage,2019
United States,323120678,114314962,2019
Alabama,4822514,1796639,2019
Alaska,705772,248412,2019
Arizona,7165904,2749973,2019
Arkansas,2962596,1303079,2019
California,38997581,14748648,2019
Colorado,5664199,1785362,2019
Connecticut,3514562,1303408,2019
Delaware,956378,377598,2019
District of Columbia,696599,238129,2019
Florida,21156770,7780246,2019
Georgia,10420412,3272462,2019
Hawaii,1358715,493029,2019
Idaho,1764911,573254,2019
Illinois,12488377,4183954,2019
Indiana,6631529,2231897,2019
Iowa,3111914,1122704,2019
Kansas,2851831,845308,2019
Kentucky,4384896,1892662,2019
Louisiana,4539690,2012905,2019
Maine,1327623,513061,2019
Maryland,5945846,1990757,2019
Massachusetts,6820969,2461014,2019
Michigan,9879486,3828692,2019
Minnesota,5580828,1835153,2019
Mississippi,2904609,1145082,2019
Missouri,6020665,1941045,2019
Montana,1053646,428101,2019
Nebraska,1904211,538914,2019
Nevada,3043419,1028081,2019
New Hampshire,1343337,431143,2019
New Jersey,8775976,2777669,2019
New Mexico,2058918,1031497,2019
New York,19212803,7610922,2019
North Carolina,10281062,3586978,2019
North Dakota,744172,202182,2019
Ohio,11514951,4283329,2019
Oklahoma,3871658,1337323,2019
Oregon,4175002,1606220,2019
Pennsylvania,12593136,4731888,2019
Rhode Island,1043753,377550,2019
South Carolina,5048513,1875283,2019
South Dakota,867305,266521,2019
Tennessee,6719315,2430922,2019
Texas,28514428,8076243,2019
Utah,3178394,657006,2019
Vermont,618064,259291,2019
Virginia,8303671,2551160,2019
Washington,7497453,2641430,2019
West Virginia,1762052,837800,2019
Wisconsin,5751404,1907166,2019
Wyoming,568859,165870,2019
Puerto Rico,3169528,1923517,2019
Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!With public coverage,2021
United States,326912547,120198470,2021
Alabama,4957633,1851375,2021
Alaska,702154,263737,2021
Arizona,7174053,2797783,2021
Arkansas,2974701,1322136,2021
California,38724294,15221879,2021
Colorado,5715497,1902383,2021
Connecticut,3557526,1339630,2021
Delaware,987964,396200,2021
District of Columbia,659979,227924,2021
Florida,21465883,8027891,2021
Georgia,10600385,3436744,2021
Hawaii,1381713,549839,2021
Idaho,1879248,691085,2021
Illinois,12495329,4367460,2021
Indiana,6707875,2410128,2021
Iowa,3151182,1167225,2021
Kansas,2878792,897270,2021
Kentucky,4428392,2012128,2021
Louisiana,4518319,2121503,2021
Maine,1357120,540387,2021
Maryland,6059298,2142384,2021
Massachusetts,6916106,2581273,2021
Michigan,9949959,4019936,2021
Minnesota,5651958,1937301,2021
Mississippi,2885936,1160955,2021
Missouri,6063301,1994646,2021
Montana,1088496,433341,2021
Nebraska,1936190,590080,2021
Nevada,3105760,1135264,2021
New Hampshire,1372918,448016,2021
New Jersey,9163640,3039059,2021
New Mexico,2077326,1056623,2021
New York,19599048,8207280,2021
North Carolina,10345935,3699907,2021
North Dakota,756440,214465,2021
Ohio,11611229,4478456,2021
Oklahoma,3905272,1457772,2021
Oregon,4206414,1737781,2021
Pennsylvania,12767386,4880167,2021
Rhode Island,1080438,432953,2021
South Carolina,5099812,1983998,2021
South Dakota,877855,272391,2021
Tennessee,6872677,2505655,2021
Texas,29066872,8632799,2021
Utah,3309594,738369,2021
Vermont,639228,266143,2021
Virginia,8412758,2750609,2021
Washington,7618375,2778789,2021
West Virginia,1755887,857710,2021
Wisconsin,5828354,2048059,2021
Wyoming,570046,171582,2021
Puerto Rico,3237924,2030178,2021
Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!With public coverage,2022
United States,328309810,122005469,2022
Alabama,4988625,1916972,2022
Alaska,701511,260753,2022
Arizona,7251924,2780374,2022
Arkansas,2991199,1346069,2022
California,38548670,15415257,2022
Colorado,5742363,1912853,2022
Connecticut,3582236,1346147,2022
Delaware,1005551,397480,2022
District of Columbia,661425,223716,2022
Florida,21904247,8218687,2022
Georgia,10718050,3535804,2022
Hawaii,1383700,545115,2022
Idaho,1911951,711922,2022
Illinois,12413406,4443075,2022
Indiana,6737570,2480611,2022
Iowa,3153337,1160255,2022
Kansas,2876222,896248,2022
Kentucky,4428274,2002287,2022
Louisiana,4494008,2145830,2022
Maine,1368026,553917,2022
Maryland,6073039,2135410,2022
Massachusetts,6919123,2616422,2022
Michigan,9929781,4066803,2022
Minnesota,5657569,1999131,2022
Mississippi,2872112,1151837,2022
Missouri,6071333,2084656,2022
Montana,1104997,448500,2022
Nebraska,1939912,626414,2022
Nevada,3139304,1157578,2022
New Hampshire,1379160,462610,2022
New Jersey,9168124,3080321,2022
New Mexico,2074351,1062129,2022
New York,19475046,8355947,2022
North Carolina,10480843,3764396,2022
North Dakota,762522,224737,2022
Ohio,11587715,4492883,2022
Oklahoma,3930259,1555587,2022
Oregon,4199471,1728315,2022
Pennsylvania,12789843,4960334,2022
Rhode Island,1076902,408257,2022
South Carolina,5185489,2004560,2022
South Dakota,888485,284336,2022
Tennessee,6951491,2494184,2022
Texas,29539484,8746449,2022
Utah,3353888,745194,2022
Vermont,640316,268273,2022
Virginia,8446378,2887617,2022
Washington,7667041,2785593,2022
West Virginia,1741322,856765,2022
Wisconsin,5831451,2079007,2022
Wyoming,570764,177852,2022
Puerto Rico,3194807,2020855,2022
Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!With public coverage,2023
United States,329987997,123460775,2023
Alabama,5022427,1937583,2023
Alaska,702315,265704,2023
Arizona,7321507,2809406,2023
Arkansas,3013015,1294634,2023
California,38495524,15501239,2023
Colorado,5776484,1960488,2023
Connecticut,3573821,1368995,2023
Delaware,1017865,420552,2023
District of Columbia,669458,225265,2023
Florida,22276397,8352182,2023
Georgia,10832829,3629622,2023
Hawaii,1378162,555022,2023
Idaho,1938023,692694,2023
Illinois,12378557,4408073,2023
Indiana,6764280,2526549,2023
Iowa,3162048,1194681,2023
Kansas,2876621,910705,2023
Kentucky,4442248,2006217,2023
Louisiana,4477873,2146285,2023
Maine,1378322,577004,2023
Maryland,6087312,2107591,2023
Massachusetts,6934075,2631745,2023
Michigan,9931639,4105803,2023
Minnesota,5678023,1992098,2023
Mississippi,2874290,1151219,2023
Missouri,6094536,2195126,2023
Montana,1115486,458620,2023
Nebraska,1951731,637284,2023
Nevada,3154027,1179714,2023
New Hampshire,1386016,461996,2023
New Jersey,9204137,3140366,2023
New Mexico,2076456,1084037,2023
New York,19372405,8394359,2023
North Carolina,10623208,3871082,2023
North Dakota,763538,223732,2023
Ohio,11616141,4556778,2023
Oklahoma,3967096,1598788,2023
Oregon,4193025,1737517,2023
Pennsylvania,12779387,5046782,2023
Rhode Island,1079737,419408,2023
South Carolina,5276214,2062644,2023
South Dakota,900264,290645,2023
Tennessee,7033220,2596743,2023
Texas,30020476,8805877,2023
Utah,3391381,765356,2023
Vermont,642064,271263,2023
Virginia,8489257,2964068,2023
Washington,7693927,2809411,2023
West Virginia,1736140,821455,2023
Wisconsin,5851267,2106045,2023
Wyoming,573746,190323,2023
Puerto Rico,3180620,2006567,2023
