name,latitude,longitude
Mercy Hospital Jefferson,38.1967583,-90.3936491
Saint Josephs Hill Infirmary,38.4139445,-90.6873838
Salem Memorial District Hospital,37.6598285,-91.569934
Nevada State Hospital and Habilitation Center,37.8611491,-94.3613388
Emmaus Sanitarium,38.6436623,-90.9923639
SSM Health Saint Louis University Hospital,38.6229713,-90.2390457
SSM Health Cardinal Glennon Children’s Hospital,38.6214405,-90.2392793
General John J Pershing Memorial Hospital,39.7746017,-93.0672597
Metropolitan Saint Louis Psychiatric Center,38.653886,-90.275933
Siteman Cancer Center,38.6380855,-90.2603994
Current River Nursing Center,36.6261034,-90.8257799
Ellett Memorial Hospital,38.1926557,-94.0213068
Progress West Hospital,38.7157313,-90.6988026
Missouri Delta Medical Center,36.889995,-89.5834552
Mercy Hopsital Stoddard,36.8075292,-89.9682815
Twin Rivers Regional Medical Center,36.2353437,-90.0411604
SSM Health Medical Group,38.7962716,-90.7010567
Unnamed Hospital,37.5588419,-90.3028225
Henry Country Memorial Hospital,38.5329554,-93.523335
Unnamed Hospital,38.6245319,-90.2384538
SSM Health Saint Joseph Hospital - Wentzville,38.8221504,-90.880721
Southeast Behavioral Hospital,37.2870739,-89.5657532
Saint Louis Forensic Treatment Center - South,38.6049899,-90.2773097
Research Psychiatric Center,39.0114033,-94.5600165
Poplar Bluff Regional Medical Center - Westwood,36.7855811,-90.4261255
Mercy Rehabilitation Hospital Saint Louis,38.6484715,-90.5340658
Mercy Rehabilitation Hospital Springfield,37.104586,-93.2356021
Center for Behavioral Health – Osage Beach,38.1349635,-92.6288893
Landmark Hospital Of Joplin,37.0535382,-94.5383815
General Leonard Wood Army Community Hospital,37.7661646,-92.1148326
Unnamed Hospital,38.5825181,-90.3581555
Emergency Department,36.7388103,-91.874594
Behavioral Health Crisis Stabilization Center,36.7373526,-91.8744923
Women's Center,36.7389019,-91.8741492
Main Entrance,36.7380782,-91.8757415
Discover Vision,38.812255,-94.4719738
Unnamed Hospital,38.5294014,-90.4740229
Unnamed Hospital,38.5257324,-90.4739349
North Kansas City Hospital,39.1495359,-94.5512538
Saint Johns Mercy Medical Center,38.6446398,-90.4461859
Missouri Baptist Medical Center,38.6357276,-90.4466678
Saint Alexius Hospital,38.5835851,-90.2286836
Saint Lukes,39.2090465,-94.6525609
SSM Health St. Mary's Hospital - St. Louis,38.6322218,-90.3117407
VA St. Louis Health Care System - Jefferson Barracks Division,38.4935664,-90.2823137
Saint Joseph Medical Center,38.9362545,-94.6037801
Saint Luke's North,39.2485619,-94.6492396
Kindred Hospital Northland,39.2190613,-94.5872903
Christian Hospital Northeast Campus,38.7761347,-90.240909
Saint Luke's North Hospital - Smithville,39.3765294,-94.5812197
SSM Health St. Joseph Hospital - St. Charles,38.780928,-90.484889
Western Missouri Medical Center,38.765867,-93.7217927
Boone Hospital Center,38.9491606,-92.3157375
Saint Mary's Medical Center,39.0254188,-94.2644823
Crittenton Childrens Center,38.9244479,-94.4816703
Belton Regional Medical Center,38.8154157,-94.5033035
Unnamed Hospital,38.2486886,-94.342826
Nevada Regional Medical Center,37.8304637,-94.3610369
Barton County Memorial Hospital,37.5057426,-94.3010158
Freeman Hospital West,37.0523499,-94.5273555
Scotland County Hospital,40.4646461,-92.1650714
Bothwell Regional Health Center,38.6991721,-93.2210017
Pike County Memorial Hospital,39.4402816,-91.0650635
Fulton Medical Center,38.8434694,-91.9654505
Kindred Hospital Kansas City,38.9684035,-94.5748393
Phelps County Regional Medical Center,37.9531891,-91.7850216
Ozarks Healthcare,36.7382714,-91.8749677
Southeast Hospital,37.311339,-89.5402562
Harry S. Truman Memorial Veterans’ Hospital,38.9363895,-92.328845
Cass Regional Medical Center,38.6649269,-94.377323
Harrison County Community Hospital,40.2645329,-94.0254157
Mosaic Medical Center - Maryville,40.3258399,-94.8761803
Centerpoint Medical Center,39.0495688,-94.3489498
Kansas City VA Medical Center,39.064512,-94.52757
"Saint Alexius Hospital, Jefferson Campus",38.5907369,-90.2272016
SSM St. Clare Health Center,38.527769,-90.4759887
Des Peres Hospital,38.583124,-90.4513239
Barnes-Jewish St. Peters Hospital,38.7941488,-90.5799674
Northwest HealthCare,38.7796735,-90.3363768
Shriners Hospital for Children,38.6323109,-90.2579442
Barnes-Jewish Hospital,38.6371658,-90.2643614
Fitzgibbon Hospital,39.0917218,-93.2134916
Landmark Hospital Of Columbia,38.9581455,-92.3111074
St. Luke's Hospital,38.6513714,-90.5036042
Cedar County Memorial Hospital,37.860115,-94.0172424
Barnes-Jewish West County Hospital,38.674927,-90.4679071
John Cochran VA Medical Center,38.6427861,-90.2315423
Washington County Memorial Hospital,37.9263261,-90.7726584
Rehabilitation Institute of Saint Louis,38.6372672,-90.2579493
Mercy South,38.5061899,-90.382291
Saint Luke's Hospital of Kansas City,39.0485238,-94.5910632
Mercy Hospital Springfield,37.1782144,-93.274259
Cox North Hospital,37.2249748,-93.2897311
Saint Luke's East Hospital,38.9414256,-94.3810466
University Hospital,38.9388957,-92.3277725
Select Speciality Hospital,37.1466128,-93.2663323
Keene Street Medical Center,38.9572694,-92.2883174
Mercy Hospital Carthage,37.1365272,-94.320655
Unnamed Hospital,36.6620396,-93.2237282
Dermatology,36.7395189,-91.8751312
Research Medical Center Brookside Campus,39.006181,-94.5772432
"Truman Medical Center, Hospital Hill",39.0856299,-94.5750658
Center for Behavioral Medicine,39.0849851,-94.5722784
DePaul Health Center,38.7510733,-90.4337668
Liberty Hospital,39.2746524,-94.4232246
Missouri Baptist Sullivan Hospital,38.1963436,-91.1715307
Cooper County Memorial Hospital,38.9438291,-92.7403245
Capital Region Medical Center,38.5659206,-92.181343
Mercy Hospital Lebanon,37.6813389,-92.6340607
Mercy Orthopedic Hospital Springfield,37.099204,-93.2348434
Cox Medical Center South,37.1443962,-93.2806221
St. Mary's Hospital,38.5581498,-92.2222478
Hannibal Regional Hospital,39.710477,-91.4482138
SSM Health Rehabilitation – Bridgeton,38.7521398,-90.4363245
Lee's Summit Medical Center,38.9036517,-94.332937
Truman Medical Center Lakewood,38.9727714,-94.3949983
