FIPS,State,County,Obesity_Rate,CI_Low,CI_High,Year
fipscode,state,county,v011_rawvalue,v011_cilow,v011_cihigh,2010
00000,US,United States,0.269,,,2010
01000,AL,Alabama,0.3287044981,,,2010
01001,AL,Autauga County,0.341,0.287,0.399,2010
01003,AL,Baldwin County,0.255,0.226,0.285,2010
01005,AL,Barbour County,0.37,0.318,0.422,2010
01007,AL,Bibb County,0.34,0.288,0.397,2010
01009,AL,Blount County,0.32,0.266,0.382,2010
01011,AL,Bullock County,0.394,0.319,0.472,2010
01013,AL,Butler County,0.408,0.354,0.463,2010
01015,AL,Calhoun County,0.336,0.299,0.371,2010
01017,AL,Chambers County,0.352,0.298,0.406,2010
01019,AL,Cherokee County,0.306,0.245,0.371,2010
01021,AL,Chilton County,0.353,0.295,0.412,2010
01023,AL,Choctaw County,0.383,0.337,0.432,2010
01025,AL,Clarke County,0.354,0.302,0.406,2010
01027,AL,Clay County,0.343,0.28,0.408,2010
01029,AL,Cleburne County,0.299,0.241,0.363,2010
01031,AL,Coffee County,0.321,0.271,0.375,2010
01033,AL,Colbert County,0.331,0.288,0.377,2010
01035,AL,Conecuh County,0.33,0.274,0.389,2010
01037,AL,Coosa County,0.338,0.274,0.404,2010
01039,AL,Covington County,0.364,0.311,0.418,2010
01041,AL,Crenshaw County,0.372,0.307,0.443,2010
01043,AL,Cullman County,0.32,0.267,0.379,2010
01045,AL,Dale County,0.356,0.305,0.41,2010
01047,AL,Dallas County,0.414,0.373,0.456,2010
01049,AL,DeKalb County,0.339,0.281,0.396,2010
01051,AL,Elmore County,0.315,0.267,0.367,2010
01053,AL,Escambia County,0.355,0.312,0.402,2010
01055,AL,Etowah County,0.321,0.282,0.362,2010
01057,AL,Fayette County,0.365,0.305,0.429,2010
01059,AL,Franklin County,0.312,0.256,0.372,2010
01061,AL,Geneva County,0.355,0.296,0.411,2010
01063,AL,Greene County,0.476,0.407,0.545,2010
01065,AL,Hale County,0.435,0.375,0.491,2010
01067,AL,Henry County,0.337,0.281,0.395,2010
01069,AL,Houston County,0.33,0.293,0.366,2010
01071,AL,Jackson County,0.305,0.252,0.367,2010
01073,AL,Jefferson County,0.32,0.297,0.343,2010
01075,AL,Lamar County,0.322,0.266,0.385,2010
01077,AL,Lauderdale County,0.324,0.288,0.364,2010
01079,AL,Lawrence County,0.381,0.32,0.45,2010
01081,AL,Lee County,0.3,0.255,0.349,2010
01083,AL,Limestone County,0.314,0.261,0.372,2010
01085,AL,Lowndes County,0.446,0.386,0.504,2010
01087,AL,Macon County,0.414,0.348,0.483,2010
01089,AL,Madison County,0.314,0.285,0.345,2010
01091,AL,Marengo County,0.402,0.36,0.444,2010
01093,AL,Marion County,0.327,0.273,0.382,2010
01095,AL,Marshall County,0.291,0.242,0.342,2010
01097,AL,Mobile County,0.317,0.295,0.34,2010
01099,AL,Monroe County,0.355,0.301,0.41,2010
01101,AL,Montgomery County,0.341,0.306,0.375,2010
01103,AL,Morgan County,0.329,0.282,0.378,2010
01105,AL,Perry County,0.402,0.339,0.466,2010
01107,AL,Pickens County,0.364,0.307,0.422,2010
01109,AL,Pike County,0.369,0.314,0.427,2010
01111,AL,Randolph County,0.321,0.265,0.376,2010
01113,AL,Russell County,0.393,0.331,0.456,2010
01115,AL,St. Clair County,0.356,0.306,0.409,2010
01117,AL,Shelby County,0.28,0.246,0.316,2010
01119,AL,Sumter County,0.421,0.364,0.479,2010
01121,AL,Talladega County,0.368,0.327,0.411,2010
01123,AL,Tallapoosa County,0.369,0.321,0.418,2010
01125,AL,Tuscaloosa County,0.346,0.317,0.375,2010
01127,AL,Walker County,0.348,0.307,0.393,2010
01129,AL,Washington County,0.362,0.298,0.427,2010
01131,AL,Wilcox County,0.434,0.371,0.499,2010
01133,AL,Winston County,0.36,0.299,0.424,2010
02000,AK,Alaska,0.2790444985,,,2010
02013,AK,Aleutians East Borough,0.314,0.243,0.391,2010
02016,AK,Aleutians West Census Area,0.279,0.221,0.345,2010
02020,AK,Anchorage Borough,0.257,0.231,0.283,2010
02050,AK,Bethel Census Area,0.301,0.255,0.349,2010
02060,AK,Bristol Bay Borough,0.349,0.275,0.432,2010
02068,AK,Denali Borough,0.284,0.223,0.354,2010
02070,AK,Dillingham Census Area,0.342,0.277,0.411,2010
02090,AK,Fairbanks North Star Borough,0.275,0.251,0.3,2010
02100,AK,Haines Borough,0.319,0.254,0.389,2010
02110,AK,Juneau Borough,0.262,0.229,0.297,2010
02122,AK,Kenai Peninsula Borough,0.289,0.262,0.317,2010
02130,AK,Ketchikan Gateway Borough,0.324,0.277,0.371,2010
02150,AK,Kodiak Island Borough,0.298,0.249,0.349,2010
02164,AK,Lake and Peninsula Borough,0.337,0.253,0.425,2010
02170,AK,Matanuska-Susitna Borough,0.296,0.256,0.337,2010
02180,AK,Nome Census Area,0.357,0.302,0.416,2010
02185,AK,North Slope Borough,0.394,0.325,0.465,2010
02188,AK,Northwest Arctic Borough,0.297,0.239,0.36,2010
02201,AK,Prince of Wales-Outer Ketchikan Census Area,0.362,0.3,0.428,2010
02220,AK,Sitka Borough,0.297,0.244,0.35,2010
02232,AK,Skagway-Hoonah-Angoon Census Area,0.317,,,2010
02240,AK,Southeast Fairbanks Census Area,0.31,0.25,0.371,2010
02261,AK,Valdez-Cordova Census Area,0.291,0.245,0.341,2010
02270,AK,Wade Hampton Census Area,0.297,0.232,0.365,2010
02280,AK,Wrangell-Petersburg Census Area,0.311,,,2010
02282,AK,Yakutat Borough,0.305,0.235,0.38,2010
02290,AK,Yukon-Koyukuk Census Area,0.326,0.27,0.383,2010
04000,AZ,Arizona,0.2485789917,,,2010
04001,AZ,Apache County,0.333,0.296,0.371,2010
04003,AZ,Cochise County,0.237,0.21,0.267,2010
04005,AZ,Coconino County,0.253,0.225,0.28,2010
04007,AZ,Gila County,0.258,0.227,0.29,2010
04009,AZ,Graham County,0.325,0.287,0.363,2010
04011,AZ,Greenlee County,0.358,0.315,0.403,2010
04012,AZ,La Paz County,0.3,0.267,0.336,2010
04013,AZ,Maricopa County,0.237,0.219,0.254,2010
04015,AZ,Mohave County,0.271,0.244,0.299,2010
04017,AZ,Navajo County,0.315,0.28,0.353,2010
04019,AZ,Pima County,0.256,0.236,0.279,2010
04021,AZ,Pinal County,0.297,0.269,0.326,2010
04023,AZ,Santa Cruz County,0.218,0.181,0.26,2010
04025,AZ,Yavapai County,0.215,0.189,0.241,2010
04027,AZ,Yuma County,0.294,0.262,0.327,2010
05000,AR,Arkansas,0.322581573,,,2010
05001,AR,Arkansas County,0.361,0.3,0.426,2010
05003,AR,Ashley County,0.392,0.328,0.463,2010
05005,AR,Baxter County,0.282,0.237,0.329,2010
05007,AR,Benton County,0.28,0.253,0.309,2010
05009,AR,Boone County,0.291,0.243,0.344,2010
05011,AR,Bradley County,0.318,0.252,0.388,2010
05013,AR,Calhoun County,0.341,0.272,0.414,2010
05015,AR,Carroll County,0.263,0.21,0.32,2010
05017,AR,Chicot County,0.381,0.318,0.445,2010
05019,AR,Clark County,0.338,0.279,0.403,2010
05021,AR,Clay County,0.322,0.259,0.389,2010
05023,AR,Cleburne County,0.266,0.21,0.323,2010
05025,AR,Cleveland County,0.327,0.265,0.4,2010
05027,AR,Columbia County,0.319,0.26,0.38,2010
05029,AR,Conway County,0.33,0.27,0.396,2010
05031,AR,Craighead County,0.331,0.286,0.379,2010
05033,AR,Crawford County,0.333,0.282,0.389,2010
05035,AR,Crittenden County,0.375,0.328,0.421,2010
05037,AR,Cross County,0.343,0.278,0.411,2010
05039,AR,Dallas County,0.341,0.268,0.417,2010
05041,AR,Desha County,0.378,0.312,0.447,2010
05043,AR,Drew County,0.358,0.287,0.431,2010
05045,AR,Faulkner County,0.325,0.277,0.374,2010
05047,AR,Franklin County,0.341,0.272,0.419,2010
05049,AR,Fulton County,0.307,0.245,0.373,2010
05051,AR,Garland County,0.277,0.24,0.316,2010
05053,AR,Grant County,0.358,0.291,0.43,2010
05055,AR,Greene County,0.341,0.28,0.408,2010
05057,AR,Hempstead County,0.364,0.303,0.43,2010
05059,AR,Hot Spring County,0.345,0.288,0.405,2010
05061,AR,Howard County,0.346,0.281,0.417,2010
05063,AR,Independence County,0.298,0.241,0.356,2010
05065,AR,Izard County,0.29,0.229,0.357,2010
05067,AR,Jackson County,0.32,0.255,0.387,2010
05069,AR,Jefferson County,0.383,0.343,0.425,2010
05071,AR,Johnson County,0.354,0.289,0.421,2010
05073,AR,Lafayette County,0.306,0.242,0.376,2010
05075,AR,Lawrence County,0.338,0.271,0.407,2010
05077,AR,Lee County,0.366,0.305,0.431,2010
05079,AR,Lincoln County,0.362,0.296,0.437,2010
05081,AR,Little River County,0.328,0.267,0.393,2010
05083,AR,Logan County,0.288,0.228,0.352,2010
05085,AR,Lonoke County,0.341,0.284,0.403,2010
05087,AR,Madison County,0.304,0.244,0.37,2010
05089,AR,Marion County,0.321,0.263,0.382,2010
05091,AR,Miller County,0.378,0.324,0.439,2010
05093,AR,Mississippi County,0.388,0.334,0.442,2010
05095,AR,Monroe County,0.361,0.287,0.433,2010
05097,AR,Montgomery County,0.28,0.217,0.346,2010
05099,AR,Nevada County,0.352,0.281,0.425,2010
05101,AR,Newton County,0.352,0.288,0.423,2010
05103,AR,Ouachita County,0.371,0.321,0.422,2010
05105,AR,Perry County,0.324,0.257,0.395,2010
05107,AR,Phillips County,0.393,0.344,0.446,2010
05109,AR,Pike County,0.305,0.243,0.374,2010
05111,AR,Poinsett County,0.365,0.299,0.435,2010
05113,AR,Polk County,0.376,0.313,0.443,2010
05115,AR,Pope County,0.319,0.266,0.371,2010
05117,AR,Prairie County,0.319,0.258,0.391,2010
05119,AR,Pulaski County,0.321,0.298,0.345,2010
05121,AR,Randolph County,0.35,0.284,0.424,2010
05123,AR,St. Francis County,0.379,0.323,0.437,2010
05125,AR,Saline County,0.312,0.27,0.355,2010
05127,AR,Scott County,0.317,0.25,0.39,2010
05129,AR,Searcy County,0.307,0.239,0.383,2010
05131,AR,Sebastian County,0.3,0.26,0.345,2010
05133,AR,Sevier County,0.322,0.264,0.385,2010
05135,AR,Sharp County,0.281,0.221,0.346,2010
05137,AR,Stone County,0.316,0.253,0.383,2010
05139,AR,Union County,0.308,0.255,0.364,2010
05141,AR,Van Buren County,0.306,0.249,0.37,2010
05143,AR,Washington County,0.298,0.267,0.33,2010
05145,AR,White County,0.312,0.264,0.365,2010
05147,AR,Woodruff County,0.339,0.272,0.41,2010
05149,AR,Yell County,0.359,0.302,0.421,2010
06000,CA,California,0.235386202,,,2010
06001,CA,Alameda County,0.203,0.184,0.223,2010
06003,CA,Alpine County,0.254,0.19,0.325,2010
06005,CA,Amador County,0.247,0.196,0.303,2010
06007,CA,Butte County,0.248,0.213,0.283,2010
06009,CA,Calaveras County,0.261,0.209,0.32,2010
06011,CA,Colusa County,0.245,0.186,0.311,2010
06013,CA,Contra Costa County,0.244,0.223,0.265,2010
06015,CA,Del Norte County,0.274,0.213,0.341,2010
06017,CA,El Dorado County,0.21,0.175,0.246,2010
06019,CA,Fresno County,0.294,0.265,0.324,2010
06021,CA,Glenn County,0.271,0.213,0.336,2010
06023,CA,Humboldt County,0.262,0.225,0.3,2010
06025,CA,Imperial County,0.246,0.198,0.301,2010
06027,CA,Inyo County,0.234,0.183,0.29,2010
06029,CA,Kern County,0.288,0.259,0.32,2010
06031,CA,Kings County,0.276,0.225,0.334,2010
