compendium_hospital_id,ccn,hospital_name,hospital_street,hospital_city,hospital_state,hospital_zip,acutehosp_flag,health_sys_id,health_sys_name,health_sys_city,health_sys_state,hos_beds,hos_dsch,hos_res,hos_children,hos_majteach,hos_vmajteach,hos_teachint,hos_highdpp,hos_ucburden,hos_highuc,hos_ownership,hos_net_revenue,hos_total_revenue
CHSP00000003,390163,Armstrong County Memorial,One Nolte Drive,Kittanning,PA,16201,1,HSI00000051,Armstrong County Memorial Hospital,Kittanning,PA,129,2805,0,0,0,0,0,0,0.0370579444,0,1,115554498,399334161
CHSP00000004,050226,Anaheim Regional Medical Center,1111 West La Palma Avenue,Anaheim,CA,92801,1,,,,,223,6656,0,0,0,0,0,1,0.1226873891,1,5,181007073,949999416
CHSP00000006,292007,Las Vegas Amg Specialty Hospital,4015 Mcleod Drive,Las Vegas,NV,89121,0,,,,,24,157,0,0,0,0,0,0,,0,5,10249378,20155446
CHSP00000007,152025,Central Indiana-Amg Specialty Hospit,"2401 West University Avenue, 8th Floor",Muncie,IN,47303,0,,,,,41,429,0,0,0,0,0,0,,0,5,22648292,45601047
CHSP00000010,322003,Albuquerque - Amg Specialty Hospital,"5400 Gibson Boulevard Se, 3rd Floor",Albuquerque,NM,87108,0,,,,,32,364,0,0,0,0,0,0,,0,5,18520777,37021634
CHSP00000011,192008,Sage Specialty Care Hospital,8375 Florida Boulevard,Denham Springs,LA,70726,0,,,,,93,735,0,0,0,0,0,0,,0,5,20283246,55870824
CHSP00000015,192037,Houma - Amg Specialty Hospital,629 Dunn Street,Houma,LA,70360,0,,,,,40,336,0,0,0,0,0,0,,0,5,13414051,30670842
CHSP00000016,192029,Ltac Of Louisiana  Llc,"4811 Ambassador Caffery Parkway, 4th Floor",Lafayette,LA,70508,0,,,,,18,245,0,0,0,0,0,0,,0,5,11985864,24684074
CHSP00000019,140122,Adventist Hinsdale Hospital,120 North Oak Street,Hinsdale,IL,60521,1,HSI00000010,AdventHealth,Altamonte Springs,FL,244,9470,27.63,0,0,0,0.1132377049,0,0.0391984943,0,2,295073396,975612852
CHSP00000020,140304,Adventist Bolingbrook Hospital,500 Remington Boulevard,Bolingbrook,IL,60440,1,HSI00000010,AdventHealth,Altamonte Springs,FL,110,5461,0,0,0,0,0,0,0.0785564264,0,2,196865975,770978029
