State,State2,County,Data_Value,Short_Question_Text,Long,Lat
FL,Florida,Lafayette,15.7,Binge Drinking,-83.18095834,29.98552869
GA,Georgia,Clay,43.6,Obesity,-84.97924637,31.62619452
ID,Idaho,Custer,32.8,Obesity,-114.2815788,44.24137434
IL,Illinois,Rock Island,37.4,Obesity,-90.56779638,41.4669851
IN,Indiana,White,24.7,Depression,-86.86517159,40.74974855
IA,Iowa,Cherokee,17.7,Depression,-95.62366101,42.73536683
IA,Iowa,Ida,37.3,Obesity,-95.513512,42.38696477
IA,Iowa,Ringgold,19.3,Depression,-94.24386342,40.73514515
IA,Iowa,Ringgold,41,Obesity,-94.24386342,40.73514515
IA,Iowa,Sac,17.6,Depression,-95.10542486,42.38620361
KS,Kansas,Nemaha,18.8,Depression,-96.01404212,39.78341395
KS,Kansas,Pratt,37.4,Obesity,-98.7391599,37.647861
KS,Kansas,Rawlins,18.9,Depression,-101.07618,39.78524494
KY,Kentucky,Ballard,12.9,Binge Drinking,-88.99925243,37.05867305
KY,Kentucky,Boyle,26.2,Depression,-84.86712219,37.62398124
KY,Kentucky,Bracken,37.9,Obesity,-84.08987229,38.68857937
KY,Kentucky,McLean,39.8,Obesity,-87.26368373,37.52899615
KY,Kentucky,Todd,39.8,Obesity,-87.17913699,36.83579205
LA,Louisiana,Bienville,46,Obesity,-93.05601907,32.34717057
MD,Maryland,Charles,17.7,Depression,-76.99218151,38.50694772
MD,Maryland,Garrett,21.6,Depression,-79.27284375,39.52875493
MA,Massachusetts,Dukes,29.2,Obesity,-70.65382633,41.39790643
MA,Massachusetts,Worcester,32.8,Obesity,-71.90772178,42.35134412
MI,Michigan,Kent,20.2,Binge Drinking,-85.54930536,43.03214881
MI,Michigan,Monroe,38,Obesity,-83.53804467,41.92827119
MO,Missouri,Livingston,38.3,Obesity,-93.54826091,39.78228882
NE,Nebraska,Hall,18.6,Binge Drinking,-98.50218004,40.87261059
NE,Nebraska,Nuckolls,17.7,Depression,-98.04734622,40.17636498
NE,Nebraska,Saline,40.8,Obesity,-97.14085087,40.52408643
NM,New Mexico,Do̱a Ana,36,Obesity,-106.8326822,32.35264051
NM,New Mexico,Los Alamos,18.4,Depression,-106.3065394,35.86868435
NC,North Carolina,Durham,21.7,Depression,-78.87627044,36.03592009
NC,North Carolina,Harnett,39.5,Obesity,-78.86990354,35.36882842
NC,North Carolina,Iredell,23.4,Depression,-80.87319108,35.80701073
NC,North Carolina,Iredell,34,Obesity,-80.87319108,35.80701073
OH,Ohio,Allen,26.6,Depression,-84.10579408,40.77149776
OH,Ohio,Lorain,39.5,Obesity,-82.15088873,41.2956651
OR,Oregon,Benton,25.5,Depression,-123.4294538,44.4917515
PA,Pennsylvania,Cameron,24,Depression,-78.2040372,41.43673122
PA,Pennsylvania,Cumberland,32.8,Obesity,-77.26515247,40.16352896
SC,South Carolina,Barnwell,42.9,Obesity,-81.43515158,33.26601264
SC,South Carolina,McCormick,17.8,Depression,-82.30944658,33.89953172
SC,South Carolina,Pickens,34.8,Obesity,-82.72482791,34.88750128
SD,South Dakota,Brown,35.9,Obesity,-98.35157721,45.58980446
SD,South Dakota,Mellette,42.8,Obesity,-100.7599316,43.58130427
TX,Texas,Briscoe,43.3,Obesity,-101.2085433,34.53026984
TX,Texas,Camp,39.4,Obesity,-94.97892171,32.97352877
TX,Texas,Childress,39.8,Obesity,-100.2077744,34.52929885
US,United States,,21.1,Depression,-95.7129,37.0902
HI,Hawaii,Kalawao,31,Obesity,-156.9475928,21.17337607
UT,Utah,Piute,34.5,Obesity,-112.1272161,38.33663194
VA,Virginia,Alleghany,40.7,Obesity,-80.0064556,37.78789777
VA,Virginia,Brunswick,44.7,Obesity,-77.85899422,36.76462014
VA,Virginia,Campbell,42.1,Obesity,-79.09674271,37.20540114
VA,Virginia,Henry,14,Binge Drinking,-79.87431144,36.68280681
VA,Virginia,James City,33.6,Obesity,-76.77797445,37.32858915
VA,Virginia,King George,23,Depression,-77.15639675,38.27348166
VA,Virginia,Powhatan,36.8,Obesity,-77.91564842,37.55039146
VA,Virginia,Danville,23.8,Depression,-79.40893951,36.58292674
WV,West Virginia,Jackson,26.9,Depression,-81.67470316,38.83449451
WV,West Virginia,McDowell,28.5,Depression,-81.65458902,37.37839123
WV,West Virginia,McDowell,44.7,Obesity,-81.65458902,37.37839123
WV,West Virginia,Upshur,40.7,Obesity,-80.23372801,38.89753199
WY,Wyoming,Fremont,37.7,Obesity,-108.6304546,43.0406424
AL,Alabama,Calhoun,15.7,Binge Drinking,-85.82576744,33.77149313
AR,Arkansas,Yell,21,Current Cigarette Smoking,-93.41030784,35.00278292
CA,California,Orange,36,Short Sleep Duration,-117.761131,33.70279045
CA,California,Imperial,14,Current Cigarette Smoking,-115.365089,33.0401896
AR,Arkansas,Columbia,26,Depression,-93.22752883,33.21440703
AL,Alabama,Jefferson,18,Frequent Mental Distress,-86.8966323,33.55455795
AZ,Arizona,Mohave,31.1,Physical Inactivity,-113.7580993,35.70447398
AL,Alabama,Covington,44.6,Obesity,-86.45144491,31.24862007
CA,California,San Bernardino,18.1,Binge Drinking,-116.1784416,34.8415154
AR,Arkansas,Randolph,37.2,Obesity,-91.02760112,36.3412862
CA,California,Mendocino,22.6,Physical Inactivity,-123.3913218,39.44031148
AK,Alaska,Dillingham,21.9,Binge Drinking,-158.2361782,59.79781712
CA,California,Mono,29.2,Obesity,-118.8874418,37.9391656
AL,Alabama,Conecuh,20.8,Frequent Mental Distress,-86.99354451,31.42930226
CA,California,Kern,18.8,Frequent Mental Distress,-118.7300291,35.34282624
CA,California,Nevada,26.4,Depression,-120.7678184,39.3015981
CA,California,Orange,19.4,Depression,-117.761131,33.70279045
AL,Alabama,Coffee,26.9,Physical Inactivity,-85.98809147,31.4024803
CA,California,Fresno,35.9,Short Sleep Duration,-119.6489945,36.75817144
AL,Alabama,Winston,17.3,Binge Drinking,-87.37365805,34.14926571
AR,Arkansas,Yell,28,Depression,-93.41030784,35.00278292
AZ,Arizona,Graham,15.2,Current Cigarette Smoking,-109.8874027,32.93275534
AK,Alaska,Juneau,21.5,Binge Drinking,-134.1729028,58.44913504
AL,Alabama,Choctaw,46,Obesity,-88.26317062,32.01982243
AR,Arkansas,Saline,26.1,Depression,-92.67651729,34.64664558
AK,Alaska,Petersburg,32.5,Short Sleep Duration,-132.9362736,57.12150335
CA,California,Shasta,13.7,Current Cigarette Smoking,-122.0402466,40.76378798
AR,Arkansas,Miller,35,Physical Inactivity,-93.89242818,33.31231561
AR,Arkansas,Crittenden,13.2,Binge Drinking,-90.30822166,35.20540904
AR,Arkansas,Phillips,50.5,Short Sleep Duration,-90.84869294,34.42765555
AR,Arkansas,Cross,27.8,Depression,-90.77149451,35.2958747
AL,Alabama,Lee,35.2,Obesity,-85.35503621,32.6012545
CA,California,Calaveras,20.1,Physical Inactivity,-120.5540478,38.20477082
AL,Alabama,Monroe,14.1,Binge Drinking,-87.36547088,31.57081678
AL,Alabama,Pike,37.7,Obesity,-85.94076271,31.80275353
AR,Arkansas,Phillips,23.6,Current Cigarette Smoking,-90.84869294,34.42765555
AK,Alaska,Aleutians West,38.9,Short Sleep Duration,-110.2449123,52.79430361
AR,Arkansas,Van Buren,27.8,Depression,-92.51589227,35.58061188
AL,Alabama,DeKalb,28.4,Depression,-85.80396932,34.45986069
AR,Arkansas,Izard,38,Short Sleep Duration,-91.9133749,36.09478627
CA,California,San Joaquin,33.7,Obesity,-121.2710853,37.9345365
AK,Alaska,Chugach,20.9,Physical Inactivity,-145.8466703,60.71480954
AL,Alabama,DeKalb,40.3,Short Sleep Duration,-85.80396932,34.45986069
AL,Alabama,Washington,20,Frequent Mental Distress,-88.20817141,31.40754999
CA,California,Del Norte,28,Physical Inactivity,-123.897121,41.74316086
AL,Alabama,Madison,17.1,Frequent Mental Distress,-86.55035597,34.76300888
AK,Alaska,Skagway,21.6,Binge Drinking,-135.3360283,59.55927372
AR,Arkansas,Drew,19.2,Current Cigarette Smoking,-91.7196579,33.58941136
AR,Arkansas,Newton,21.8,Current Cigarette Smoking,-93.21756298,35.92009606
AK,Alaska,Kenai Peninsula,32.5,Obesity,-151.5538622,60.25996902
AK,Alaska,Kodiak Island,38.5,Short Sleep Duration,-153.7898123,57.68088748
CA,California,Plumas,25,Depression,-120.8382696,40.00426098
AL,Alabama,Clarke,44.4,Obesity,-87.83086877,31.67684743
CA,California,Riverside,11.3,Current Cigarette Smoking,-115.9947649,33.74377104
AR,Arkansas,Union,20,Frequent Mental Distress,-92.59736983,33.17128479
AL,Alabama,Bibb,21.8,Current Cigarette Smoking,-87.12659254,32.99846055
AR,Arkansas,Madison,35.8,Physical Inactivity,-93.72425841,36.01133633
AK,Alaska,Copper River,19.4,Depression,-143.9679895,61.88338372
CA,California,Colusa,34.8,Short Sleep Duration,-122.2381269,39.17767937
AK,Alaska,Wrangell,36.8,Short Sleep Duration,-132.0332911,56.32753529
AR,Arkansas,Calhoun,22.1,Frequent Mental Distress,-92.50294131,33.55805872
AR,Arkansas,Randolph,37,Short Sleep Duration,-91.02760112,36.3412862
AK,Alaska,Wrangell,14.9,Frequent Mental Distress,-132.0332911,56.32753529
CA,California,Sonoma,34,Short Sleep Duration,-122.8875681,38.52873432
AK,Alaska,North Slope,17.2,Frequent Mental Distress,-153.4793879,69.31356174
AL,Alabama,Winston,25.9,Depression,-87.37365805,34.14926571
AZ,Arizona,Mohave,17.6,Current Cigarette Smoking,-113.7580993,35.70447398
