YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Sex,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,27.4,27.4,,,25.3,29.7,3336.0,Total,,,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Total,Total,OVR,OVERALL
2011,2011,AK,Alaska,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,33.8,33.8,,,31.5,36.3,3294.0,Total,,,,,,"(64.845079957001, -147.722059036)",PA,PA1,Q046,VALUE,2,Total,Total,OVR,OVERALL
2011,2011,AK,Alaska,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,57.9,57.9,,,55.4,60.4,3212.0,Total,,,,,,"(64.845079957001, -147.722059036)",PA,PA1,Q043,VALUE,2,Total,Total,OVR,OVERALL
2011,2011,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011.0,Value,38.9,38.9,,,36.5,41.3,3336.0,Total,,,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q037,VALUE,2,Total,Total,OVR,OVERALL
2011,2011,AK,Alaska,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,37.7,37.7,,,35.3,40.1,3186.0,Total,,,,,,"(64.845079957001, -147.722059036)",PA,PA1,Q045,VALUE,2,Total,Total,OVR,OVERALL
2011,2011,AK,Alaska,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,25.0,25.0,,,22.8,27.3,3166.0,Total,,,,,,"(64.845079957001, -147.722059036)",PA,PA1,Q044,VALUE,2,Total,Total,OVR,OVERALL
2011,2011,AK,Alaska,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011.0,Value,22.0,22.0,,,20.2,24.0,3349.0,Total,,,,,,"(64.845079957001, -147.722059036)",PA,PA1,Q047,VALUE,2,Total,Total,OVR,OVERALL
2011,2011,AL,Alabama,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,23.9,23.9,,,22.5,25.4,7152.0,Total,,,,,,"(32.840571122, -86.631860762)",PA,PA1,Q045,VALUE,1,Total,Total,OVR,OVERALL
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011.0,Value,34.7,34.7,,,33.1,36.3,7304.0,Total,,,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q037,VALUE,1,Total,Total,OVR,OVERALL
2011,2011,AL,Alabama,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011.0,Value,32.6,32.6,,,31.1,34.1,7470.0,Total,,,,,,"(32.840571122, -86.631860762)",PA,PA1,Q047,VALUE,1,Total,Total,OVR,OVERALL
